post_id,sentence_id,sentence_text,DSM5_symptom,status,explanation
s_1270_9,s_1270_9_6,"I recall that after I ran away, I spent weeks lying on the floor, frozen in fear and unable to move.",SLEEP_ISSUES,1,"This message might indicate a shift in sleep habits, especially as it persisted for two weeks. Such prolonged issues are often seen in those with depressive symptoms, aligning with major depressive disorder criteria in the DSM-5."
s_1270_9,s_1270_9_8,My sleep pattern was chaotic—I'd stay up all night watching anime or gaming and then sleep during the day.,SLEEP_ISSUES,1,"This reflects a disrupted sleep cycle, a common behavioral symptom in those facing depression. Such patterns could signify a sleep-related issue tied to major depressive disorder as per DSM-5 guidelines."
s_1955_1069,s_1955_1069_2,I feel extremely weighed down.,WORTHLESSNESS,0,"While this feeling might relate to depressive symptoms, in this case, it doesn't strongly indicate a core symptom of major depressive disorder."
s_993_1060,s_993_1060_1,I felt incredibly energized.,FATIGUE,1,"This may imply difficulty engaging in regular routines. Mood and activity shifts like this could relate to major depressive disorder, particularly symptoms like energy loss or lack of pleasure."
s_993_1060,s_993_1060_4,I can't focus on anything anymore.,COGNITIVE_ISSUES,1,"Difficulty concentrating or thinking clearly is a hallmark of depression, aligning with criterion eight of DSM-5's major depressive disorder symptoms."
s_993_1060,s_993_1060_5,I'm having even more trouble sleeping now and need pills to help me rest.,SLEEP_ISSUES,1,"When someone struggles with sleep for weeks and turns to medication, it may suggest a serious sleep disturbance. DSM-5's criteria four for major depressive disorder includes issues like insomnia or hypersomnia over a two-week span."
s_321_219,s_321_219_4,I hate that I’m crying right now.,DEPRESSED_MOOD,1,"This could point to repeated, intense crying spells. If these emotions are frequent and overwhelming, they may meet DSM-5's criteria for depressive disorder symptoms like tearfulness."
s_2392_17,s_2392_17_1,"Since cutting dairy, I usually sleep through the night for 6–8 hours.",SLEEP_ISSUES,0,"Diet changes might influence mood, but this alone doesn’t strongly indicate a depressive sleep pattern according to DSM-5 criteria."
s_2392_17,s_2392_17_2,"At one point, I was only getting about 6 hours of sleep a week.",SLEEP_ISSUES,1,This suggests a period of severe sleep disruption. Past episodes like this increase the likelihood of other depressive symptoms as outlined in DSM-5.
s_1997_963,s_1997_963_1,I'm so indecisive—I wouldn’t be able to make a choice in your situation.,COGNITIVE_ISSUES,1,"Persistent indecisiveness can be a cognitive issue tied to depression, especially if it significantly interferes with daily functioning, as described in DSM-5’s ninth criterion."
s_1404_102,s_1404_102_34,Nothing interests me anymore.,ANHEDONIA,1,A lack of interest or pleasure in usual activities is a central symptom of depression and could suggest major depressive disorder based on DSM-5 criteria.
s_1404_102,s_1404_102_51,"I'm trying to socialize and make friends, but I always mess it up.",WORTHLESSNESS,0,"This may show self-criticism or low self-confidence, but it doesn't strongly align with the core symptoms of major depressive disorder in this context."
s_1404_102,s_1404_102_62,I can’t do that because I’m socially awkward and people can sense it.,WORTHLESSNESS,1,"This suggests a negative self-image and low self-esteem, which are common early indicators of depressive symptoms linked to major depressive disorder."
s_205_396,s_205_396_1,I've never really been into sex or relationships and probably never will be.,ANHEDONIA,1,A persistent lack of interest in sexual activity can be a recurring symptom among those with depressive episodes.
s_2886_101,s_2886_101_1,"When you have major depression, your brain's chemical balance is off—like serotonin and dopamine are depleted—and nothing works right.",FATIGUE,1,This comment points to the fatigue and lack of motivation caused by depression. Feeling drained is a common sign outlined in DSM-5’s sixth criterion for major depressive disorder.
s_2886_101,s_2886_101_3,"Even after a year-long depressive episode, I still struggle to focus.",COGNITIVE_ISSUES,1,Difficulty concentrating can persist even after depressive episodes. This history may signal a continued risk for depressive symptoms.
s_993_557,s_993_557_3,I feel incredibly guilty about this.,WORTHLESSNESS,1,"Excessive guilt is closely tied to feelings of worthlessness, a common emotional symptom of major depressive disorder."
s_1639_444,s_1639_444_16,I feel awful and completely drained.,FATIGUE,1,This strongly reflects a key symptom of major depressive disorder—fatigue that disrupts daily life and reduces motivation.
s_2338_920,s_2338_920_11,I just can't stop crying now.,DEPRESSED_MOOD,1,"Frequent crying can indicate emotional vulnerability, often seen in depression. It’s one of the first symptoms noted in DSM-5 for major depressive disorder."
s_156_366,s_156_366_1,"I’m certain that if I go to college without my family, I’ll end up taking my life… I’m barely hanging on as it is and can’t handle being alone with my thoughts!",SUICIDAL_THOUGHTS,1,"This message shows the person is overwhelmed and feeling hopeless, with clear signs of suicidal ideation—closely tied to DSM-5’s ninth criterion for major depressive disorder."
s_2748_341,s_2748_341_0,My sex drive has been extremely high for years—I'm 28 and obsessed with anything sexual.,ANHEDONIA,0,"This doesn't reflect a loss of interest in sex, so it doesn’t meet the criteria for anhedonia associated with major depressive disorder."
s_1404_1048,s_1404_1048_1,I only get proper sleep when I don’t need an alarm to wake up.,SLEEP_ISSUES,1,Changes in sleep duration and rhythm are often signs of depression. This post could suggest a sleep disruption related to major depressive disorder.
s_329_224,s_329_224_0,"Looking back, I see I made so many bad choices.",WORTHLESSNESS,1,"This may reflect a negative self-view and low self-esteem—central traits often seen in major depressive disorder, especially per criterion one."
s_329_224,s_329_224_0,"Looking back, I see I made so many bad choices.",DEPRESSED_MOOD,1,"This kind of reflection often shows feelings of sadness or regret, which are common in depressive states and align with DSM-5’s criteria for depressive mood."
s_2748_278,s_2748_278_1,"I was always exhausted, sleeping more than 14 hours daily and still feeling tired.",SLEEP_ISSUES,1,Sleeping excessively and still feeling fatigued is a sign of hypersomnia—a common change in sleep pattern found in depression and discussed in DSM-5.
